Quantity,References,Value,Description,Manufacturer,Part Number,Vendor,Vendor Part Number
1,C1,1uF,"CAP, 0805, 1uF, 10%, X7S, 100V",Murata Electronics,GRJ21BC72A105KE11L,Mouser,81-GRJ21BC72A105KE1L
4,C2 C12 C13 C27,0.47uF,"CAP, 0603, 0.47uF, 10%, X7R, 16V",Murata Electronics,GRM188R71C474KA88,Mouser,81-GRM188R71C474KA88
1,C3,10uF,"CAP, A Size, 10uF, 20%, Tantalum, 16V",Kemet,T491A106M016AT7280,Mouser,80-T491A106M016AT7280
4,C4 C7 C14 C21,47nF,"CAP, 0603, 47nF, 10%, X8R, 100V",Murata Electronics,GCJ188R92A473KA1D,Mouser,81-GCJ188R92A473KA1D
4,C5 C8 C15 C22,0.1uF,"CAP, 0603, 0.1uF, 10%, X8R, 100V",Murata Electronics,GCJ188R72A104KA1D,Mouser,81-GCJ188R72A104KA1D
14,C6 C9 C10 C11 C16 C17 C18 C19 C20 C23 C24 C25 C26 C28,10nF,"CAP, 0603, 10nF, 10%, X7R, 100V",Murata Electronics,GCM188R72A103KA7D,Mouser,81-GCM188R72A103KA7D
1,D1,SM15T33CA,"TVS, SMC, Bi-directional, 1500W",ST,SM15T33CA,Mouser,511-SM15T33CA
8,R1 R2 R4 R11 R13 R23 R26 R28,4.7k,"RES, 0603, 4.7k, 1/10W, 5%, T100",Yageo,RC0603JR-074K7L,Mouser,603-RC0603JR-074K7L
1,R3,2.15M,"RES, 0603, 2.15M, 1/10W, 1%, T100",Vishay,CRCW06032M15FKEA,Mouser,71-CRCW06032M15FKEA
2,R5 R17,1.27M,"RES, 0603, 1.27M, 1/10W, 1%, T100",Vishay,CRCW06031M27FKEA,Mouser,71-CRCW06031M27FKEA
8,R6 R8 R18 R25 R31 R33 R34 R36,10k,"RES, 0603, 10k, 1/10W, 5%, T100",Yageo,RC0603JR-0710KL,Mouser,603-RC0603JR-0710KL
4,R7 R9 R19 R35,47R,"RES, 0603, 47R, 1/10W, 5%, T100",Yageo,RC0603FR-0747RL,Mouser,603-RC0603FR-0747RL
8,R10 R14 R16 R20 R21 R22 R30 R32,100k,"RES, 0603, 100k, 1/10W, 5%, T100",Yageo,RC0603JR-07100KL,Mouser,603-RC0603JR-07100KL
5,R12 R15 R24 R27 R29,560R,"RES, 1206, 560R, 1/2W, 5%, T200",Panasonic,ERJ-8GEYJ561V,Mouser,667-ERJ-8GEYJ561V
1,U1,LT3014IDD,"IC, DFN-8, Linear Regulator, LDO, 80V, 20mA",Linear Tech,LT3014BHVIDD#PBF,Mouser,584-LT3014BHVIDD#PBF
1,U2,BTS7002-1EPP,"IC, TSDSO-14, High-Side Switch, Single, 21A",Infineon,BTS70021EPPXUMA1,Mouser,726-BTS70021EPPXUMA1
1,U3,BTS7008-2EPA,"IC, TSDSO-14, High-Side Switch, Dual, 7.5A",Infineon,BTS70082EPAXUMA1,Mouser,726-BTS70082EPAXUMA1
2,U4 U7,74LVC3G17,"IC, VSSOP-8, Triple Schmitt-Trigger Buffer",TI,SN74LVC3G17DCUR,Mouser,595-SN74LVC3G17DCUR
1,U5,BTS7200-2EPA,"IC, TSDSO-14, High-Side Switch, Dual, 1.2A",Infineon,BTS72002EPAXUMA1,Mouser,726-BTS72002EPAXUMA1
1,U6,ATXMEGA8E5-M4U,"IC, QFN-32, 8/16-bit AVR XMEGA Microcontroller, 8kB",Atmel,ATXMEGA8E5-M4U,Mouser,556-ATXMEGA8E5-M4U
1,U8,BTS7200-4EPA,"IC, TSDSO-14, High-Side Switch, Quad, 1A",Infineon,BTS72004EPAXUMA1,Mouser,726-BTS72004EPAXUMA1
